AGLC SKU,QUANTITY,SKU DESCRIPTION,Available Cases,Format,Subcategory,THC MIN,THC MAX,THC UOM,CBD MIN,CBD MAX,CBD UOM,EachesPerCase,New SKU This Week, On Sale , Sell Price Per Case , Orginal Price Per Case , Sell Price Per Unit ,MSRP, Recycle Fees Per Case , Deposit Fee Per Case ,Company Name,Brand Name,Product Name,Long Product Description,Merchandising Strategy,Type_(Sub 2 Category),Strain_(Sub 3 Category),Province_of_Origin,Region of Product_(Optional),Extraction Process,Dominant Terpene 1,Dominant Terpene 1 Content (%),Dominant Terpene 2,Dominant Terpene 2 Content (%),Dominant Terpene 3,Dominant Terpene 3 Content (%),Other Terpenes List,Net Content,Content UOM,Piece Qty,Piece Size,DCE (g),Master Case Height_(cm),Master Case Length_(cm),Master Case Width_(cm),Master Case Weight_(kg),External Packaging Material,Each Inner Height_(cm),Each Inner Length_(cm),Each Inner Width_(cm),Each Inner Weight_(grams),GTIN,MasterCaseGTIN
CNB-07304583,0,Mandarin CKS 5 x 0.5g Infused Pre-Rolls,91,Concentrate or Extract,Infused,300,380,mg/g,0,60,mg/g,12,FALSE,FALSE,$289.44,$289.44,$24.12,$34.99, - , - ,Mera Cannabis,Countryside Cannabis,Mandarin CKS,"Fresh flower infused with strain specific live resin to create a potent and flavourful experience
",Good / Value,Sativa,Mandarin CKS,Ontario,,,Caryophyllene,39.0,Limonene,13.0,Alpha Bisabolol,9.0,,2.5,g,5,0.5,10.0,10.16,15.24,15.24,399,Tin,1.25,9.4,7.45,0,895689001819,10895689001816
CNB-07304584,0,Banana Hammock 5 x 0.5g Infused Pre-Rolls,71,Concentrate or Extract,Infused,300,375,mg/g,0,60,mg/g,12,FALSE,FALSE,$289.44,$289.44,$24.12,$34.99, - , - ,Mera Cannabis,Countryside Cannabis,Banana Hammock,Fresh flower infused with strain specific live resin to create a potent and flavourful experience.,Good / Value,Indica,Banana Hammock,Ontario,,,Myrcene,44.0,Humulene,31.0,Caryophyllene,6.0,,2.5,g,5,0.5,10.0,10.16,15.24,15.24,400,Tin,1.25,9.4,7.45,0,895689001802,10895689001809
CNB-07305166,0,Avana Lemonberry Haze Live Rosin 0.5 g PAX Era Vape Pod,41,Vape,Prefilled Vape Cartridge,640,700,mg/g,0,60,mg/g,12,FALSE,FALSE,$445.08,$445.08,$37.09,$52.99, - , - ,Mera Cannabis,Avana,Lemonberry Haze Live Rosin PAX Era Vape Pod,"Avana Live Rosin PAX Era Pods are the closest to a live rosin dab that a vape can offer. Lemonberry Haze is known for its strong citrus and berry aroma and light floral undertones. Avana Live Rosin PAX Era Pods have one ingredient: single input solventless live rosin that's made from soil to oil in St. Thomas, Ontario. We hand harvest and immediately freeze our sun-grown cannabis (called Whole Plant Fresh Frozen or WPFF) to preserve as much of the plants' fresh monoterpene content as possible. Trichomes are separated in ice water using a careful agitation process. This water hash is gently pressed into rosin and filled into PAX Era Pods. Compatible with PAX Era Devices only. Device not included.",Best / Premium,Sativa,Lemonberry Haze,Ontario,,,Caryophyllene,52.0,Humulene,13.0,Valencene,13.0,"Myrcene,Limonene",0.5,g,1,0.5,2.0,10.16,15.24,15.24,0.09,paperboard,12.5,5.5,2,22.85,895689001512,10895689001519
CNB-07305167,0,Countryside Cannabis Grape Diamonds Live Resin 0.5 g PAX Era Vape Pod,91,Vape,Prefilled Vape Cartridge,750,810,mg/g,0,60,mg/g,12,FALSE,FALSE,$373.80,$373.80,$31.15,$44.49, - , - ,Mera Cannabis,Countryside Cannabis,Grape Diamonds Live Resin PAX Era Vape Pod,"Countryside's Grape Diamonds 100 percent Live Resin PAX Era Pod is made from single source farm fresh frozen Grape Diamond flower, a phenotype of Memberberry hunted by  Ethos Genetics. The Pax Era device is an excellent complement to the premium live resin that is gracing this pod. Absolutely no adulteration of the live resin occurs during the extraction process. No  botanical or cannabis derived terpenes are added, neither are fillers - we are 100 percent Live Resin! A great quality experience at a reasonable tag.

The Grape Diamonds Live Resin PAX Pod is compatible with PAX Era, Era Pro, and Era Life devices (Not included).",Better / Mainstream,Indica,Grape Diamonds,Ontario,,,Caryophyllene,39.0,Farnesene,29.0,Humulene,10.0,Terpinolene,0.5,g,1,0.5,2.0,10.16,15.24,15.24,0.09,paperboard,12.5,5.5,2,22.85,895689001758,10895689001755
CNB-07305168,0,Countryside Cannabis Strawberry OG Live Resin 1.0 g Prefilled Vape Cartridge,32,Vape,Prefilled Vape Cartridge,750,810,mg/g,0,60,mg/g,12,FALSE,FALSE,$391.68,$391.68,$32.64,$46.99, - , - ,Mera Cannabis,Countryside Cannabis,Strawberry OG Live Resin Vape Cartridge,"The Countryside Cannabis Strawberry OG Live Resin 510 cartridge is made from single source, farm fresh-frozen flower, frozen immediately after harvest to preserve the plant's unique terpene profile. Containing one single source of cannabinoids and terpenes our Strawberry OG is a cross between Bruce Banner's OG Kush and Strawberry Diesel, making it a very powerful and aromatic bud. Advanced Vapor device cartridge with No-Burn technology that delivers unprecedented terpene flavors, without sacrificing on the big hit. Compatible with 510 thread devices. Device not included.",Better / Mainstream,Hybrid,Strawberry OG,Ontario,,,Caryophyllene,40.0,Alpha Bisabolol,26.0,Humulene,11.0,Valencene,1,g,1,1,4.0,10.16,15.24,15.24,0.09,PETE,0.1,12,7.5,3.23,876936000199,10876936000196
CNB-07305169,0,Countryside Cannabis 10th Planet Live Resin 1.0 g Prefilled Vape Cartridge,27,Vape,Prefilled Vape Cartridge,720,810,mg/g,0,60,mg/g,12,FALSE,FALSE,$391.68,$391.68,$32.64,$46.99, - , - ,Mera Cannabis,Countryside Cannabis,10th Planet Live Resin Vape Cartridge,"The Countryside Cannabis 10th Planet  Live Resin 510 cartridge is made from single source, farm fresh-frozen flower, frozen immediately after harvest to preserve the plant's unique terpene profile. Our fresh frozen whole flower 10th Planet  by Ethos Genetics, has deep fruit, gasoline, and grape notes. Advanced Vapor device cartridge with No-Burn technology that delivers unprecedented terpene flavors, without sacrificing on the big hit. Compatible with 510 thread devices. Device not included.",Better / Mainstream,Hybrid,10th Planet,Ontario,,,Limonene,30.0,Farnesene,0.0,,,,1,g,1,1,4.0,10.16,15.24,15.24,0.09,PETE,0.1,12,7.5,3.23,876936000311,10876936000318
CNB-07305315,0,Orange Kush CK 1 x 1g Infused Pre-Roll,93,Concentrate or Extract,Infused,320,400,mg/g,0,10,mg/g,12,FALSE,FALSE,$151.20,$151.20,$12.60,$18.49, - , - ,Mera Cannabis,Avana,Orange Kush CK Double Infused Cone,Orange Kush CK Infused Pre-Roll,Better / Mainstream,Indica,Orange Kush cake,Ontario,St Thomas,,Caryophyllene,40.0,Myrcene,30.0,Humulene,29.0,alpha-Bisabolol,1,g,1,1,4.0,10.16,25.4,20.32,154.22,plastic,11.43,1.91,1.91,9,895689001826,10895689001823
CNB-07305384,0,Strawberry OG 10 x 0.5g Pre-Rolls,158,Pre-Roll,Pre-Rolls,200,260,mg/g,0,5,mg/g,12,FALSE,FALSE,$251.88,$251.88,$20.99,$29.99, - , - ,Mera Cannabis,Countryside Cannabis,Strawberry OG,Strawberry Pre-Rolls,Good / Value,Hybrid,Strawberry OG,Ontario,,,Caryophyllene,40.0,Limonene,30.0,Myrcene,20.0,,5,g,10,0.5,5.0,10.16,25.4,20.32,154.22,Polypropylene,8.89,5.72,5.72,40,00876936000328,10876936000325
CNB-07305385,0,Grape Diamonds 10 x 0.5g Pre-Rolls,13,Pre-Roll,Pre-Rolls,200,260,mg/g,0,5,mg/g,12,FALSE,FALSE,$251.88,$251.88,$20.99,$29.99, - , - ,Mera Cannabis,Countryside Cannabis,Grape Diamonds,Grape Diamonds Pre-Rolls,Good / Value,Hybrid,Grape Diamonds,Ontario,,,Caryophyllene,40.0,Myrcene,30.0,Bisabolol,20.0,Bisabolol,5,g,10,0.5,5.0,10.2,25.4,20.3,154.22,Polypropylene,8.89,5.72,5.72,40,00876936000335,10876936000332
CNB-07305386,0,Ethos Glue 10 x 0.5g Pre-Rolls,130,Pre-Roll,Pre-Rolls,250,300,mg/g,0,5,mg/g,12,FALSE,FALSE,$251.88,$251.88,$20.99,$29.99, - , - ,Mera Cannabis,Countryside Cannabis,Ethos Glue,Ethos Glue Pre-Rolls,Good / Value,Hybrid,Ethos Glue,Ontario,,,Caryophyllene,30.0,Guaiol,20.0,,,,5,g,10,0.5,5.0,10.16,25.4,20.32,154.22,Polypropylene,8.89,5.72,5.72,40,00876936000342,10876936000349
