Type,SKU,Producer Type,Origin,Brand,Product Name,GTIN,Strain,Size (grams),THC %,CBD %,Terp %,Pack Date,Per Unit Cost,Qty/Case,Case Price,Cases Available,Quantity of Cases to Order,Total,,,INVEST  PER GRAM,,,,,,,,,
,NAT011014SH,,,Natural History,***NEW***Shredded Lettuce (Milled),00872789001314,Hybrid,10.0,20.60%,<1%,2%,8/19/2022,$23.99,8,$191.92,20,, $-   ,,,$2.40,,,,,,,,,
,NOR010393CH,,,***SK LP*** North 40 Cannabis,Cherry Milk,00811615001593,Hybrid,3.5,21.24%,<1%,3.8%,4/14/2022,$17.96,12,$215.52,5,, $-   ,,,$5.13,,,,,,,,,
,NOR010709CH,,,***SK LP*** North 40 Cannabis,Cherry Milk,00811615001609,Hybrid,7,21.24%,<1%,3.8%,4/20/2022,$34.96,12,$419.52,3,, $-   ,,,$4.99,,,,,,,,,
,NOR010308CR,,,***SK LP*** North 40 Cannabis,Crescendo,00811615001708,Hybrid,3.5,23.74%,<1%,3.9%,4/14/2022,$17.96,12,$215.52,7,, $-   ,,,$5.13,,,,,,,,,
,NOR010715CR,,,***SK LP*** North 40 Cannabis, Crescendo,00811615001715,Hybrid,7.0,23.74%,<1%,,,$34.96,12,$419.52,0,, $-   ,,,$4.99,,,,,,,,,
,NOR010333EL,,,***SK LP*** North 40 Cannabis,***NEW*** El Gordo,00811615002033,Sativa,3.5,27.80%,<1%,4.1%,10/4/2022,$24.96,12,$299.52,15,, $-   ,,,$7.13,,,,,,,,,
,NOR010740EL,,,***SK LP*** North 40 Cannabis,***NEW*** El Gordo,00811615002040,Sativa,7.0,29.62%,<1%,5%,7/15/2022,$48.96,12,$587.52,0,, $-   ,,,$6.99,,,,,,,,,
,NOR012864EL,,,***SK LP*** North 40 Cannabis,***NEW*** El Gordo,00811615002064,Sativa,28.0,29.62%,<1%,5%,,$179.96,6,"$1,079.76",0,, $-   ,,,$6.43,,,,,,,,,
,NOR010360FA,,,***SK LP*** North 40 Cannabis,Farm Gas,00811615000060,Indica,3.5,24.82%,<1%,3.8%,8/11/2022,$22.50,12,$270.00,7,, $-   ,,,$6.43,,,,,,,,,
,NOR010777FA,,,***SK LP*** North 40 Cannabis,Farm Gas,00811615000077,Indica,7.0,24.82%,<1%,3.8%,8/11/2022,$44.00,12,$528.00,3,, $-   ,,,$6.29,,,,,,,,,
,NOR010350LA,,,***SK LP*** North 40 Cannabis,Ladies Night,00811615000350,Indica,3.5,23.67%,<1%,3.1%,,$22.50,12,$270.00,0,, $-   ,,,$6.43,,,,,,,,,
,NOR010774LA,,,***SK LP*** North 40 Cannabis, Ladies Night,00811615000374,Indica,7.0,23.67%,<1%,3.1%,5/14/2022,$44.00,12,$528.00,8,, $-   ,,,$6.29,,,,,,,,,
,NOR011481LA,,,***SK LP*** North 40 Cannabis, Ladies Night,00811615000381,Indica,14.0,23.67%,<1%,3.1%,6/15/2022,$85.94,6,$515.64,1,, $-   ,,,$6.14,,,,,,,,,
,NOR012898LA,,,***SK LP*** North 40 Cannabis,Ladies Night,00811615000398,Indica,28.0,23.67%,<1%,3.1%,,$146.85,6,$881.10,0,, $-   ,,,$5.24,,,,,,,,,
,NOR010310PE,,,***SK LP*** North 40 Cannabis,Pear Effect,00811615000718,Hybrid,3.5,24.2%,<1%,1.8%,3/14/2022 4/14/2022,$17.96,12,$215.52,14,, $-   ,,,$5.13,,,,,,,,,
,NOR010732PE,,,***SK LP*** North 40 Cannabis,Pear Effect,00811615000732,Hybrid,7.0,24.2%,<1%,1.8%,4/14/2022,$34.96,12,$419.52,1,, $-   ,,,$4.99,,,,,,,,,
,HEX012869KU,,,Original Stash,Kush,00697238121869,Indica,28.0,22.30%,<1%,,5/2/2022,$76.46,6,$458.76,0,, $-   ,,,$2.73,,,,,,,,,
,ORI012853LE,,,Original Stash,***NEW*** ONE Lemon Margy,00697238121753,Hybrid,28.0,20.60%,<1%,,5/30/2022,$76.46,6,$458.76,1,, $-   ,,,$2.73,,,,,,,,,
,ORI012890PO,,,Original Stash,ONE Powdered Donuts,00697238130090,Indica,28.0,18.50%,<1%,,2/3/2022,$69.97,12,$839.64,15,, $-   ,Save $6.49 per unit,,$2.50,,,,,,,,,
,ORI01357508,,,Original Stash,Powdered Donuts,00697238118043,Indica,3.5,18.50%,<1%,,3/16/2022,$10.61,24,$254.64,5,, $-   ,,,$3.03,,,,,,,,,
,OUE010351BE,,,Ouest, Bermuda Triangle,00628176844251,Hybrid,3.5,35.55%,<1%,2.84%,,$30.58,12,$366.96,0,, $-   ,,,$8.74,,,,,,,,,
,OUE011443BE,,,Ouest,Bermuda Triangle,00628176844343,Hybrid,14.0,35.55%,<1%,2.84%,8/11/2022,$108.48,6,$650.88,1,, $-   ,,,$7.75,,,,,,,,,
,OUE010328OR,,,Ouest,Oreoz,00628176844428,Indica,3.5,28.34%,<1%,2.72%,9/7/2022,$28.81,12,$345.72,9,, $-   ,,,$8.23,,,,,,,,,
,OUE01404399,,,Ouest,Oreoz,00628176844022,Indica,14.0,28.34%,<1%,2.72%,9/7/2022,$96.05,6,$576.30,3,, $-   ,,,$6.86,,,,,,,,,
,OUE010315PU,,,Ouest,Punchee Tart,00628176844015,Hybrid,3.5,25.83%,<1%,,,$23.99,12,$287.88,0,, $-   ,,,$6.85,,,,,,,,,
,PAR010323WH,,,Paradise Cannabis,White Flame,00689285002529,Hybrid,3.5,21.67%,<1%,,12/5/2021,$17.78,24,$426.72,4,, $-   ,Save $2.00 per unit,,$5.08,,,,,,,,,
,PRA010373BL,,,Prairie Craft Canopy,Black Cherry Punch,00689285002079,Hybrid,3.5,23.65%,<1%,,,$20.57,24,$493.68,0,, $-   ,,,$5.88,,,,,,,,,
,POO010231IN,,,Poolboy, Infused Milled Flower (Concentrate),00853589000431,Hybrid,2.0,47.99%,<1%,,7/5/2022,$31.56,6,$189.36,30,, $-   ,,,$15.78,,,,,,,,,
,PRA010303PO,,,Prairie Craft Canopy,Powdered Donuts,00689285002109,Hybrid,3.5,26.82%,<1%,,11/28/2021,$26.49,12,$317.88,4,, $-   ,,,$7.57,,,,,,,,,
,RED010310BL,,,Red Barn,Blackberry Gelato,00811615001388,Indica,3.5,26.41%,<1%,1.3%,9/4/2022,$19.26,12,$231.12,0,, $-   ,,,$5.50,,,,,,,,,
,RED010710BL,,,Red Barn,Blackberry Gelato,00811615001395,Indica,7.0,26.41%,<1%,1.3%,9/4/2022,$37.36,12,$448.32,1,, $-   ,,,$5.34,,,,,,,,,
,RED012818BL,,,Red Barn,Blackberry Gelato,00811615001418,Indica,28.0,26.41%,<1%,1.3%,9/4/2022,$116.00,6,$696.00,5,, $-   ,,,$4.14,,,,,,,,,
,RED010310CA,,,Red Barn,Captain Kush,00811615001456,Indica,3.5,25.80%,<1%,2.3%,6/16/2022,$19.26,12,$231.12,12,, $-   ,,,$5.50,,,,,,,,,
,RED010710CA,,,Red Barn,Captain Kush,00811615001463,Indica,7.0,25.67%,<1%,2.4%,10/4/2022,$37.36,12,$448.32,8,, $-   ,,,$5.34,,,,,,,,,
,RED011470CA,,,Red Barn,Captain Kush,00811615001470,Indica,14.0,25.80%,<1%,2.3%,4/14/2022,$61.00,6,$366.00,1,, $-   ,,,$4.36,,,,,,,,,
,RED012887CA,,,Red Barn,Captain Kush,00811615001487,Indica,28.0,25.67%,<1%,2.4%,9/4/2022,$112.00,6,$672.00,0,, $-   ,,,$4.00,,,,,,,,,
,NOR010351CO,,,***SK LP*** Red Barn,***NEW*** Cosmic Funk/Space Cake,00811615001951,Hybrid,3.5,29.62%,<1%,3%,7/18/2022,$24.96,12,$299.52,20,, $-   ,,,$7.13,,,,,,,,,
,NOR010768CO,,,***SK LP*** Red Barn,***NEW*** Cosmic Funk/Space Cake,00811615001968,Hybrid,7.0,29.62%,<1%,3%,7/20/2022,$48.96,12,$587.52,17,, $-   ,,,$6.99,,,,,,,,,
,NOR012882CO,,,***SK LP*** Red Barn,***NEW*** Cosmic Funk/Space Cake,00811615001982,Hybrid,28.0,29.62%,<1%,3%,,$179.96,6,"$1,079.76",0,, $-   ,,,$6.43,,,,,,,,,
,SIM01350336,,,Simply Bare,***NEW***.  Duct Tape (Selects),00688318001928,Hybrid,3.5,27.60%,<1%,2.73%,9/13/2022,$28.31,6,$169.86,20,, $-   ,,,$8.09,,,,,,,,,
,SIM01802807,,,Simply Bare,***NEW***.  Lime Mi'jito (Selects),00688318002178,Sativa,28,29.20%,<1%,2.51%,9/13/2022,$153.44,3,$460.32,0,, $-   ,,,$5.48,,,,,,,,,
,SUG010310PR,,,Sugarbud Craft Growers,PreNup,00684606135184,Hybrid,3.5,18.63%,<1%,,,$11.00,12,$132.00,0,, $-   ,,,$3.14,,,,,,,,,
,TAN010310BC,,,Tantalus Labs ,Blackberry Cream,00695275001168,Indica,3.5,20.70%,<1%,2.20%,5/31/2022,$18.79,12,$225.48,15,, $-   ,,,$5.37,,,,,,,,,
,TAN010320SU,,,Tantalus Labs ,Sunset Sherbet,00695275001120,Indica,3.5,21.49%,<1%,3.86%,4/12/2022,$18.79,12,$225.48,10,, $-   ,,,$5.37,,,,,,,,,
,TAN01353549,,,Tantalus Labs ,Tropicanna Cookies,00695275001229,Sativa,3.5,22.99%,<1%,3.41%,7/27/2022,$18.79,12,$225.48,0,, $-   ,,,$5.37,,,,,,,,,
,TOP010211CL,,,Top Up, Clementine,00628176844411,Sativa,2.0,22.4%,<1%,2.79%,4/12/2022,$14.16,24,$339.84,9,, $-   ,** Premium flower at an accessible price,,$7.08,,,,,,,,,
,TOP010204SU,,,Top Up, Super Stash,00628176844404,Hybrid,2.0,26.24%,<1%,3.38%,4/13/2022,$14.16,24,$339.84,9,, $-   ,** Premium flower at an accessible price,,$7.08,,,,,,,,,
,VIG010349CA,,,VIGR Life Cannabis,Cake #9,00627987942095,Indica,3.5,19.46%,<1%,,6/7/2022,$19.78,12,$237.36,0,, $-   ,,,$5.65,,,,,,,,,
,VIG010340GR,,,VIGR Life Cannabis,Grape Galena,00627987942132,Indica,3.5,18.30%,<1%,2.72%,4/6/2022,$19.78,12,$237.36,0,, $-   ,,,$5.65,,,,,,,,,
,VIG010344VA,,,VIGR Life Cannabis,Vanilla Ice,00627987942101,Indica,3.5,21.36%,<1%,4.45%,5/5/2022,$21.75,12,$261.00,0,, $-   ,,,$6.21,,,,,,,,,
,VIG010341WA,,,VIGR Life Cannabis,Watermelon OG,00627987942088,Indica,3.5,22.36%,<1%,2.49%,5/24/2022,$21.75,12,$261.00,0,, $-   ,,,$6.21,,,,,,,,,
,WIL010367BL,,,Wildlife,***NEW*** Blackberry Gelato,00628639001467,Indica,3.5,28.07%,<1%,1.94%,6/27/2022,$18.22,12,$218.64,124,, $-   ,,,$5.21,,,,,,,,,
,WIL010374SU,,,Wildlife,***NEW*** Sun Country Kush,00628639001474,Hybrid,3.5,24.37%,<1%,1.42%,8/10822,$18.22,12,$218.64,126,, $-   ,,,$5.21,,,,,,,,,
,Infused Pre-Rolls,,,,,,,,,,,,,,,*,,,,,,,,,,,,,,
,PUR090189IN,,,314 Pure Premium,Hash Infused (Concentrate),00853589000189,Hybrid,1 x 1g,39.63%,<1%,,,$10.26,12,$123.12,0,, $-   ,,,,,,,,,,,,
,PUR090572IN,314 Pure Premium,Kief Infused (Concentrate),314 Pure Premium,Kief Infused (Concentrate),00853589000172,Hybrid,4 X 0.5g,23.00%,<1%,,5/3/2022,$11.96,12,$143.52,17,, $-   ,,,,,,,,,,,,
,APO090503IN,,,Apothecary Botanicals,"Infused (Gelato w/Diamonds, Concentrate)",00877579002403,Hybrid,2 x 0.5g,41.26%,<1%,,,$13.97,6,$83.82,0,, $-   ,,,,,,,,,,,,
,BOX090166AL,,,BoxHot,***NEW*** Fatties Alien OG INFUSED BLUNT,00848876001666,,1 x 1g,,<1%,,,$10.58,12,$126.96,0,, $-   ,,,,,,,,,,,,
,BOX090173CH,,,BoxHot,***NEW*** Fatties Cherry Kush INFUSED BLUNT,00848876001673,,1 x 1g,32.20%,<1%,,7/30/2022,$10.58,12,$126.96,50,, $-   ,,,,,,,,,,,,
,BOX090173PE,,,BoxHot,***NEW*** Fatties Peach OG INFUSED BLUNT,00848876002373,,1 x 1g,32.00%,<1%,,8/24/2022,$10.58,12,$126.96,50,, $-   ,,,,,,,,,,,,
,BIG020101BU,,,BIG Concentrates,Bubble Hash Infused,00836780000493,Hybrid,1 x 1g,36.72%,<1%,3.1%,6/1/2022,$14.69,12,$176.28,27,, $-   ,,,,,,,,,,,,
,DEL05109263,,,Delta 9,***NEW*** Space Stix,00689285002444,,2 x 0.5g,41.34%,<1%,,9/13/2022,$10.99,12,$131.88,10,, $-   ,,,,,,,,,,,,
,HYC020502LE,,,Hycycle, Hyroller Lemon Riot Infused,00848876001970,Sativa,2 x 0.5g,31.00%,<1%,1.87%,,$10.88,6,$65.28,0,, $-   ,,,,,,,,,,,,
,HYC020502WA,,,Hycycle, Hyroller Wappa Infused,00848876001963,Indica,2 x 0.5g,31.00%,<1%,2.79%,6/20/2022,$10.88,6,$65.28,0,, $-   ,,,,,,,,,,,,
,LOU020101BE,,,The Loud Plug,Benny Blunto Infused,00836780000615,Hybrid,1 x 1g,36.72%,<1%,3.1%,,$14.76,12,$177.12,0,, $-   ,,,,,,,,,,,,
